movie_id,writer_id,id
9c865434-3c3f-4000-9997-12282ba323ba,2d6d61c2-040f-4300-a077-325882cfafb2,6f0cd305-7247-4826-b263-5f45a2bc6084
9c865434-3c3f-4000-9997-12282ba323ba,4b1f25f0-dfe6-4222-9f77-11ce724a9450,c92fab7a-d273-4172-a0a8-2a246577f59b
9c865434-3c3f-4000-9997-12282ba323ba,fb1ecd8c-8183-45d9-a84a-0ed6da16f870,afdbf649-f301-4779-9a9a-feb069ced771
b887e4e4-7dbe-4642-b536-9a88922f3793,296a9a17-e99a-4adf-aff2-284f1ebe360f,cb20d824-e8ba-4822-881b-e1ada9bbf7b1
b887e4e4-7dbe-4642-b536-9a88922f3793,483faf8f-287f-4161-899c-2d74416212c4,3cfce1b3-d140-4cba-a448-fda5aca622c1
b887e4e4-7dbe-4642-b536-9a88922f3793,e05f1200-eebb-44db-81a9-79f1392339e1,a49d24fa-4352-42e0-87fd-a82d50716808
b3e75928-ef00-4b20-89fe-fb25b38db33e,30a19040-0de1-48c2-86b4-0d58f951edfd,46d33aa7-7bd5-4cfc-b27b-55e452827e1e
9039cddd-2209-45c5-86b0-155f2a6565a6,320786e8-1ae3-467c-a978-06d16d8edf13,3a846ff3-9f46-403c-84ef-5825b3127e85
9039cddd-2209-45c5-86b0-155f2a6565a6,6776950e-96c8-487f-b15e-f4e06f0e4676,c51aa243-0ba8-4bfc-b5a7-b9a9ab779968
9873d162-9f3c-4522-a6b0-bbfc30173dc9,b0e4361b-40de-4dae-a60c-2bec3e94ed59,2453b613-d2c6-4183-b7cd-a26d1972933b
3cf66b74-9e7a-43fb-b708-a62117ccdbe4,865573f5-b68c-4f81-8e59-d9456d707cec,58e9486d-8b45-4a4b-871a-3af43380ea69
36aa5b91-45aa-477d-9e72-d864521e8f04,18a888b9-101b-44b1-a08e-e007f016ff6f,5cb42315-f823-4fbe-be48-0a2b1aa8050f
36aa5b91-45aa-477d-9e72-d864521e8f04,8811fe3a-d9cd-4cb0-8740-01634df2e07e,deca2f2b-8934-4b37-a276-27d8aabab4aa
36aa5b91-45aa-477d-9e72-d864521e8f04,d6b05445-da49-4d3a-afcc-9d4395fa36ff,65f73af7-e501-427a-b6f0-778f3b276bfb
32cd3447-69cb-4cb1-9885-da1a71af413f,133f0df0-0f91-4be7-a22c-e4c8efa31953,4cd77d69-c495-45da-b205-661996f64a5d
32cd3447-69cb-4cb1-9885-da1a71af413f,1eb33df7-7e80-4915-a083-7abbcbf5b434,3b01ff60-b9b4-4cc5-a0db-62e2d7132713
32cd3447-69cb-4cb1-9885-da1a71af413f,f9a0f2e9-5387-4cba-aa7e-1aef06461045,b4c57def-4f66-4ece-896d-2f97ee190439
