PickId,DrafterId,DrafterTeamId
9082f32b-3f28-46b4-b5e9-2aedcae5ffa8,f422a2b7-dc36-49a8-bc52-7cd9899e7b0c,
749da3c7-6311-487f-8a78-730d67409098,600001ac-4446-4acd-bf6c-75f882af7671,
e8c81b9a-d2f3-4a7b-8be5-37d506035ffa,35ffb47e-718c-4981-93b9-14467d5919f0,
592066c3-fe71-43da-97a1-fc750da1d70c,e1b120d5-17ca-452a-abc9-e7a8c084c481,
75a78155-f129-4907-8144-6053d65cc7a6,2d04840a-92eb-473c-84b5-bf5616b3ce9f,
e38aaa98-b6ae-4785-8b97-c944bde1e454,54e7ad89-4479-4398-95ba-3320b4557eed,
583fab20-ba1a-438c-994e-15c8fd759e3d,7294d6d0-ca7f-4410-a9ca-345b37eeed5e,
a80371ce-431b-4b47-b878-729b4206a03f,67a0470b-f1f5-48bf-84c5-d9857cfa987e,
64232163-d50e-4c7e-b742-8b679d9c4deb,54e7ad89-4479-4398-95ba-3320b4557eed,
4f68e531-60fb-46a1-9a8b-0fe4430ae1aa,35ffb47e-718c-4981-93b9-14467d5919f0,
0b0de8d2-5dd1-4559-8e26-a9afd60315a8,55cc129c-6fa0-4bfa-90f0-a9ec6b4fbfac,
c4c021ac-72e8-4abf-b182-8e8403d6773f,2475d0b6-26b5-4a0d-bcb0-91ee9bd085b4,
b91e2b96-273e-4450-b065-27414064de85,0ad0d3b1-2560-4545-b76b-d2d3c01563ac,
d2788d41-1bfc-4c8e-bfa9-c13a1b838ee5,26ad950a-1c17-4190-87a5-6989476e0232,
e4e25321-dbe9-4468-b6d1-87127ef88bc7,54e7ad89-4479-4398-95ba-3320b4557eed,
0e6482db-42b1-4235-b437-acffea5d27f7,95eff28d-fbbf-4e83-b506-70756d8c744d,
e72ccb8f-0bda-472d-8497-67fc6c7577d4,f9efd5e6-038d-44be-95cf-bdc38bc1542d,
67bdf693-395e-4408-9bc9-a4d2096fda45,d9833d9a-f6f6-43bd-95d0-601815ba55a4,
c11f7372-4dca-42be-8ead-0420df09fbb8,f422a2b7-dc36-49a8-bc52-7cd9899e7b0c,
922f1599-42e4-420b-80d7-ef6c41dcbc52,e18d1d45-0923-4a67-b1af-f36257f24ab0,
710f73db-eee6-4c1e-b73c-81d319df8100,5f08c325-abbd-4046-a783-d167a60c3714,
9b86a79a-7d33-4d98-8517-da31a4657196,26ad950a-1c17-4190-87a5-6989476e0232,
dd604e0b-042d-40c2-a8b0-f72bf93eb53d,1dfbd95e-cece-4088-8ee7-5a57e65f37e1,
c79f4eac-f4e4-4165-bfb1-8d3ddde5f495,70c2c2d5-11c7-4d35-a22b-0023b400a910,
b3988efe-a6cc-4665-a8a5-727b01d85610,34002ac9-98cd-49f8-a3be-354fa024d8e4,
024c5889-a140-4706-aee8-1cbd520f7eaf,ca477ff3-f6cf-489e-b2f8-c04c890c4cbe,
77f73b5c-94ee-4ea6-9219-7a7612caf014,54e7ad89-4479-4398-95ba-3320b4557eed,
959744b6-66ec-4b87-8b64-d4c87cd94498,2a3232c9-d6bb-4e11-ac12-7d63ddbd3c22,
3892c748-d2ad-4189-a88c-f4001586798c,f422a2b7-dc36-49a8-bc52-7cd9899e7b0c,
000bf11d-fc15-4f8f-b18a-39e38e7026be,cba35a0b-78ae-48f6-a58d-18b4cd9c9e89,
cfd15312-62d6-436a-b406-9ade3ea60d31,35ffb47e-718c-4981-93b9-14467d5919f0,
41a29626-ed4a-4ba5-9460-18f4b194f109,35ffb47e-718c-4981-93b9-14467d5919f0,
c33e63f0-b539-4b0f-9864-1cc41fc776de,e18d1d45-0923-4a67-b1af-f36257f24ab0,
