title,imdb_id
Atomic Blonde,tt2406566
Attack the Block,tt1478964
Au Revoir les Enfants,
Austenland,tt1985019
Austin Powers: International Man of Mystery,tt0118655
Autumn Sonata,tt0077711
Avatar,tt0499549
Avatar: The Way of Water,tt1630029
Avengers: Age of Ultron,tt2395427
Avengers: Endgame,tt4154796
Avengers: Infinity War,tt4154756
Away from Her,tt0491747
Baby Face,tt0023775
Babylon,tt10640346
Back to the Future,tt0088763
Back to the Future Part II,tt0096874
Back to the Future Part III,tt0099088
Bad Boys,tt0112442
Bad Boys II,tt0172156
Bad Education,tt8206668
Bad Influence,tt0099091
Bad Santa,tt0307987
Bad Taste,tt0092610
Ball of Fire,tt0033373
Bambi,
Barb & Star Go to Vista Del Mar,
Barbie,
Barcelona,
Barking Dogs Never Bite,tt0269743
Barry Lyndon,tt0072684
Barton Fink,tt0101410
Basic Instinct,tt0103772
Bat*21,
Batman,tt0059968
Batman & Robin,tt0118688
Batman (1966),
Batman (1989),
Batman Begins,tt0372784
Batman Forever,tt0112462
Batman Returns,tt0103776
Batman v Superman: Dawn of Justice,tt2975590
Batman: Mask of the Phantasm,tt0106364
Battle for the Planet of the Apes,
Baxter,tt0094713
Beaches,tt0094715
Beasts of the Southern Wild,tt2125435
Beautiful Girls,tt0115639
Beauty and the Beast,tt2771200
Becoming Jane,tt0416508
Bed and Board,
Beetlejuice,tt0094721
Before Midnight,tt2209418
Before Sunrise,tt0112471
Before the Devil Knows You're Dead,tt0292963
Being John Malkovich,tt0120601
Being the Ricardos,
Bells are Ringing,
Below,tt0276816
Beneath the Planet of the Apes,
Best in Show,tt0218839
Better Days,tt9586294
Beverly Hills Cop,tt0086960
Big Boys,
Big Business,tt0094739
Big Hero 6,
Big Trouble in Little China,tt0090728
Bill & Ted's Bogus Journey,tt0101452
Bill & Ted's Excellent Adventure,tt0096928
Billy Elliot,tt0249462
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),
Bit,
Black Bear,tt9601220
Black Christmas,tt0071222
Black Dynamite,tt1190536
Black Hawk Down,tt0265086
Black Legion,tt0027367
Black Orpheus,
Black Panther,tt1825683
Black Panther: Wakanda Forever,tt9114286
Black Roses,tt0094752
Black Sabbath,
Black Sheep,tt0115697
Black Swan,tt0947798
Black Widow,tt3480822
BlackBerry,
Blackboard Jungle,tt0047885
Blackhat,
BlacKkKlansman,tt7349662
Blade,tt0120611
Blade Runner,tt0083658
Blade Runner 2049,tt1856101
Blaze,tt6443294
Blazing Saddles,tt0071230
Blind Beast,
Blind Date,tt0092666
Blood and Black Lace,tt19355610
Blood Simple,tt0086979
Bloodsport,
Bloody Moon,tt0083156
Blow the Man Down,tt8299768
Blue Velvet,tt0090756
Boarding Gate,tt0493402
Bob & Carol & Ted & Alice,tt0064100
Body Bags,
Body Double,tt0086984
Body Heat,tt0082089
Body Parts,tt0101492
Boiler Room,tt0181984
Bone Tomahawk,tt2494362
Bonjour Tristesse,tt0051429
Boogie Nights,tt0118749
Booksmart,tt1489887
Boomerang,tt0103859
Borat Subsequent Moviefilm,tt13143964
Born on the 4th of July,
Both Sides of the Blade,
Bottle Rocket,tt0115734
Bottoms,
Bound,tt0115736
Bowfinger,tt0131325
Boxcar Bertha,
Boxing Helena,tt0106471
Boys Don't Cry,tt0171804
Boyz n the Hood,tt0101507
Braindead,
Brainstorm,
Bram Stoker’s Dracula (1992),
Bram Stoker's Dracula,tt0103874
Brave,tt1217209
Brazil,tt0088846
Breakdown,tt0118771
Breakfast at Tiffany’s,
Breaking Away,tt0078902
Bride of Chucky,tt0144120
Bridesmaids,tt1478338
Bridge of Spies,tt3682448
Bridget Jones’s Diary,
Brief Encounter,tt0037558
Bring It On,tt0204946
Bring Me the Head of Alfredo Garcia,tt0071249
Bringing Out the Dead,
Bringing Up Baby,tt0029947
Broadcast News,tt0092699
Brokeback Mountain,tt0388795
Broken Arrow,tt0115759
Brother From Another Planet,
Brown Sugar,tt0297037
B'Twixt Now and Sunrise,
Bubble,tt0454792
Buffalo '66,
Bug,tt0470705
Bull Durham,tt0094812
Bullet in the Head,tt0099426
Bully,tt0242193
Burn After Reading,tt0887883
Burning,tt7282468
Butch Cassidy and the Sundance Kid,tt0064115
Byzantium,tt1531901
C.R.A.Z.Y.,tt0401085
Cabaret,tt0068327
Caché,
Cadet Kelly,tt0294425
Call Me by Your Name,tt5726616
Cam,
Camelot,tt0061439
Camera Buff,tt0078763
Can You Ever Forgive Me?,
Candyman,tt9347730
Cannibal Holocaust,tt0078935
Cape Fear,
Capote,tt0379725
Captain America: Civil War,tt3498820
Captain America: The First Avenger,tt0458339
Captain America: The Winter Soldier,tt1843866
Captain EO,
Captain Kronos – Vampire Hunter,
Captain Marvel,tt4154664
Carlos,tt1321865
Carol,tt2402927
Carrie,tt0074285
Cars,tt0317219
Cars 2,tt1216475
Cars 3,tt3606752
Casablanca,tt0034583
Casino,
Casino Royale,tt0381061
Cast Away,
Castle Freak,tt0112643
Casualties of War,
Catch Me If You Can,tt0264464
Cats,tt5697572
Cat's Eye,tt0088889
Cecil B. Demented,tt0173716
Center Stage,tt0210616
Certain Women,tt4468634
Certified Copy,
Challengers,
Charade,tt0056923
Charlie Wilson's War,tt0472062
Chasing Amy,tt0118842
Children of the Corn,tt0087050
Child's Play,tt0094862
Child's Play (2019),
Child's Play 2,tt0099253
Child's Play 3,tt0103956
Chimes at Midnight,tt0059012
China Moon,tt0109417
Chinatown,tt0071315
Chocolate,tt1183252
Chopper,tt0221073
Chopping Mall,
Christine,tt0085333
Christmas Eve in Miller's Point,
Christmas Evil,tt0081793
Christmas Getaway,tt7688990
Christmas in Connecticut,tt0037595
Christmas with the Kranks,tt0388419
"Christmas, Again",
Chungking Express,
Citizen Kane,tt0033467
Citizen Ruth,tt0115906
City of Angels,tt0120632
City of the Living Dead,tt0081318
Clean,tt10023022
Clear and Present Danger,tt0109444
Cléo from 5 to 7,tt0055852
Clerks,
Cliffhanger,tt0106582
Climax,tt8359848
Clockers,
Close Encounters of the Third Kind,tt0075860
Close-up,tt0100234
Cloud Atlas,tt1371111
Clouds of Sils Maria,tt2452254
Cloverfield,tt1060277
Clueless,tt0112697
C'mon C'mon,tt10986222
Coal Miner's Daughter,
Cobra,tt0090859
Coco,tt2380307
Cocoon,tt0088933
Coffee and Cigarettes,tt0379217
Cold Water,tt0109702
Collateral,
Collective,tt10706602
Color of Night,tt0109456
Colossal,tt4680182
Coma,
Come September,tt0054759
Coming to America,tt0094898
Commando,tt0088944
Communion,tt0097100
Con Air,tt0118880
Conan the Barbarian,tt0082198
Confessions of a Dangerous Mind,
Confidentially Yours,
Congo,
Connie and Carla,tt0345074
Conquest,tt0085356
Conquest of the Planet of the Apes,
Contact,tt0118884
Contagion,tt1598778
Cool and the Crazy,
Cool Hand Luke,tt0061512
Cool World,
Coonskin,tt0071361
Cop Land,tt0118887
Coraline,tt0327597
Coriolanus,tt1372686
Corruption,
Coupe de Ville,tt0099310
Crash,tt0115964
Crashing Through the Snow,tt14809392
Crawl,tt8364368
"Crazy, Stupid, Love",
Creature from the Black Lagoon,tt0046876
Creed,tt3076658
Creed II,tt6343314
Creed III,tt11145118
Creepshow,tt0083767
Crimson Tide,tt0112740
Critical Thinking,tt7870102
Croc,
Crooklyn,
Cross of Iron,tt0074695
"Crouching Tiger, Hidden Dragon",tt0190332
Crumb,
Cujo,
Cult of Chucky,tt3280262
Curse of Chucky,tt2230358
Cyborg,tt0097138
D.E.B.S.,
Da 5 Bloods,tt9777644
Da Sweet Blood of Jesus,tt3104930
Dagon,tt0264508
Damage,
Damn Yankees,tt0051516
Damsels in Distress,
Dancer in the Dark,
Daredevil,tt3322312
Dark Age,tt0092830
Dark City,tt0118929
Dark Passage,tt0039302
Dark Phoenix,
Dark Victory,tt0031210
Darkman,tt0099365
Darkness,tt0273517
David,
Dawn of the Dead,tt0363547
Dawn of the Dead (1978),
Dawn of the Planet of the Apes,
Day for Night,tt0070460
Day of the Animals,tt0075913
Day of the Dead,tt0088993
Dazed and Confused,tt0106677
Dead Man,tt0112817
Dead of Night,tt0068457
Dead Ringers,tt12923632
Deadfall,tt1667310
Deadly Blessing,tt0082245
Deadly Games,tt0083803
Deadpool,tt1431045
Deadpool 2,tt5463162
Dealing: Or the Berkeley-to-Boston Forty-Brick Lost-Bag Blues,
Dear White People,tt2235108
Death and the Maiden,
Death Becomes Her,tt0104070
Death on the Nile (1978),
Death Wish 3,tt0089003
Deathdream,
Deathgasm,tt3705412
Decision to Leave,tt12477480
Deep Impact,tt0120647
Deep Red,tt0073582
Deep Rising,tt0118956
Deep Water,
Defending Your Life,
Delicatessen,tt0101700
Deliver by Christmas,tt11847642
Dementia 13,
Demolition Man,tt0106697
Demonlover,tt0284034
Desert Hearts,tt0089015
Desk Set,
Desperate Living,tt0075936
Desperately Seeking Susan,tt0089017
Destroy All Monsters,tt0063172
Destry Rides Again,tt0031225
Desyat Negrityat,
Detective Pikachu,
Devil in a Blue Dress,tt0112857
Dial M for Murder,
Diamonds Are Forever,tt0066995
Dick,tt0144168
Dick Johnson is Dead,tt11394180
Die Another Day,tt0246460
Die Hard,tt0095016
Die Hard with a Vengeance,tt0112864
Die Hard: With a Vengeance,
Dinocroc,tt0365653
Dirty Dancing,tt0092890
Dirty Pretty Things,tt0301199
Dirty Rotten Scoundrels,tt0095031
Disappearing Acts,tt0243220
Disaster Movie,tt1213644
Disclosure,
Disorder,tt4085084
Django,tt0060315
"Django Kill… If You Live, Shoot!",
Django Unchained,tt1853728
Doctor Sleep,tt5606664
Doctor Strange,tt1211837
Doctor Strange in the Multiverse of Madness,tt9419884
Dodes'ka-den,tt0065649
Dolemite Is My Name,tt8526872
Dominion: Prequel to the Exorcist,tt0449086
Dont Look Back,
Don't Torture a Duckling,tt0069019
Double Impact,
Double Indemnity,tt0036775
Doubt,tt0918927
Downhill,
Dr. Jekyll and Sister Hyde,
Dr. No,tt0055928
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,tt0057012
Dr. T & the Women,tt0205271
Dracula,tt9139220
Dracula A.D. 1972,
Drag Me to Hell,
Dragonslayer,tt0082288
Driftwood,tt0112904
Drive,tt0780504
Drive Angry,tt1502404
Drop Dead Gorgeous,tt0157503
Drop Zone,tt0109676
Dudes,tt0092933
Duel,tt0067023
Dumb and Dumber,
Dumbo,tt3861390
E.T. the Extra-Terrestrial,tt0083866
Easy Living,tt0041328
Eat the Document,tt0233629
Eaten Alive,tt0074455
Ed Wood,tt0109707
Eddie Murphy: Delirious,tt0085474
Edmond,tt0443496
Edward Scissorhands,tt0099487
Eight Men Out,tt0095082
Eighth Grade,tt7014006
Eileen,
El Mariachi,tt0104815
Election,tt0126886
Elizabeth,tt0127536
Emma Mae,
Emma.,tt9214832
Emperor of the North Pole,
Empire of the Sun,tt0092965
Encanto,
Enchanted,tt0461770
Endless Night,tt0067052
Enemy of the State,tt0120660
Equilibrium,tt0238380
ER: 24 Hours,
Eraserhead,tt0074486
Erin Brockovich,tt0195685
Escape from New York,tt0082340
Escape from the Planet of the Apes,
Escape to Witch Mountain,tt0072951
Eternal Sunshine of the Spotless Mind,tt0338013
Eternals,tt9032400
Event Horizon,tt0119081
Everybody Wants Some!!,tt2937696
Everything Everywhere All at Once,tt6710474
Eve's Bayou,tt0119080
Evil Dead II,tt0092991
Evil Dead Rise,
Evolution,tt0251075
Ex Libris: The New York Public Library,
Ex Machina,tt0470752
Excalibur,tt0082348
Exorcist: The Beginning,tt0204313
Extreme Close-Up,
Extremely Loud & Incredibly Close,tt0477302
Eye of the Beholder,tt0120662
Eyes Wide Shut,tt0120663
F for Fake,tt0072962
Face/Off,tt0119094
Faces of Death,tt0077533
Fahrenheit 451,
Falling Down,
Family Plot,
Fancy Dance,
Fanny and Alexander,tt0083922
Fantasia,
Fantastic Mr. Fox,tt0432283
Fargo,tt2802850
Fast Company,tt0079138
Fast Five,tt1596343
Faster,tt1433108
Fat Kid Rules the World,tt1995304
Fear,tt0116287
FeardotCom,tt0295254
Felicia's Journey,
Female Trouble,tt0072979
Fences,tt2671706
Ferrari,
Field of Dreams,tt0097351
Fight for Your Life,tt0076023
Final Destination,tt0195714
Final Fantasy: The Spirits Within,tt0173840
Find Me Guilty,tt0419749
Finding Dory,tt2277860
Finding Nemo,tt0266543
Finian's Rainbow,
Fir Crazy,
Fire and Ice,
First Blood,tt0083944
First Comes Courage,tt0035883
First Cow,tt9231040
First Man,tt1213641
First Reformed,tt6053438
Flight,tt1907668
Flight of the Navigator,tt0091059
Flow,
Fools Rush In,tt0119141
For Your Eyes Only,tt0082398
Forbidden Planet,tt0049223
Ford v. Ferrari,
Foreign Correspondent,
Forgetting Sarah Marshall,tt0800039
Forrest Gump,
Fortress,
Four of the Apocalypse,
Four Weddings and a Funeral,tt0109831
Foxcatcher,tt1100089
Frailty,tt0264616
Frances Ha,tt2347569
Frankenstein,tt0021884
Frankenstein Meets the Wolf Man,tt0035899
Frankenstein Must Be Destroyed,
Frantic,tt0095174
Freaky,tt10919380
Freaky Friday,tt0322330
Freddy Got Fingered,tt0240515
Freddy vs. Jason,tt0329101
Freddy’s Dead: The Final Nightmare,
Frenzy,
Frequency,tt0186151
Fresh,
Frida,tt0120679
Friday the 13th,tt0080761
Friday the 13th (2009),
Friday the 13th Part 2,tt0082418
Friday the 13th Part III,tt0083972
Friday the 13th Part VI: Jason Lives,tt0091080
Friday the 13th Part VII: The New Blood,tt0095179
Friday the 13th Part VIII: Jason Takes Manhattan,tt0097388
Friday the 13th: A New Beginning,tt0089173
Friday the 13th: The Final Chapter,tt0087298
Fright Night,tt1438176
Fritz the Cat,
From Beyond,tt0091083
From Dusk Till Dawn,tt0116367
From Russia with Love,tt0057076
Frozen,tt2294629
Frozen II,
Fruitvale Station,tt2334649
FUBAR,tt13064902
Full Metal Jacket,tt0093058
Funny Face,tt0050419
Funny Games,
Funny Games (2007),
Funny People,tt1201167
Furious 7,tt2820852
Gangs of New York,
Ganja & Hess,
Garden State,
Gardens of Stone,
Gerald's Game,
Get Him to the Greek,tt1226229
Get Out,tt5052448
Get Over It,tt0192071
Get Shorty,
"Ghidorah, the Three-Headed Monster",tt0058544
Ghost,tt0099653
Ghost Dog: Way of the Samurai,
Ghost Rider,tt0259324
Ghostbusters: Afterlife,tt4513678
Ghostlight,
Girls Trip,tt3564472
Glass,tt6823368
Glory,tt0097441
Gods and Monsters,
God's Country,tt0091125
Godzilla,tt0047034
Godzilla (2014),
Godzilla Minus One,
Godzilla vs. Destoroyah,tt0113187
Godzilla vs. Hedorah,tt0067148
Godzilla vs. SpaceGodzilla,tt0109916
"Godzilla, Mothra and King Ghidorah: Giant Monsters All-Out Attack",tt0279112
Godzilla: Final Wars,tt0399102
Godzilla: King of the Monsters,tt3741700
Gold Diggers of 1933,tt0024069
Golden Boy,
GoldenEye,tt0113189
Goldfinger,tt0058150
Goldstone,tt4911996
Gone with the Wind,
"Good Morning, Vietnam",
Goodfellas,
Gravity,tt1454468
Green Room,tt4062536
Greenberg,
Gremlins,tt0087363
Gremlins 2: The New Batch,tt0099700
Grey Gardens,tt0073076
Grindhouse,tt0462322
Grumpy Old Men,tt0107050
Guardians of the Galaxy,tt2015381
Guardians of the Galaxy Vol 2,
Guillermo del Toro's Pinocchio,tt1488589
Hachi: A Dog's Tale,tt1028532
Hackers,tt0113243
"Hail, Caesar!",tt0475290
Hairspray,tt0095270
Halloween,tt0077651
Halloween (2007),
Halloween (2018),
Halloween 4: The Return of Michael Myers,
Halloween 5: The Revenge of Michael Myers,
Halloween Ends,
Halloween H20: 20 Years Later,tt0120694
Halloween II,
Halloween II (2009),
Halloween III: Season of the Witch,tt0085636
Halloween Kills,
Halloween: Resurrection,
Halloween: The Curse of Michael Myers,
Halloweentown,tt0173886
Hamburger Hill,
Hamlet,tt0040416
Hannah and Her Sisters,tt0091167
Hannah Takes the Stairs,
Hannibal Rising,tt0367959
Happy as Lazzaro,
Happy Birthday to Me,tt0082498
Happy Death Day,
Happy Gilmore,tt0116483
Happy Together,tt0118845
Hard Boiled,tt0104684
Hard Eight,tt0119256
Hard Target,tt0107076
Hard to Handle: Bob Dylan in Concert,tt0091172
Harper,tt0060490
Harry & Son,tt0087386
Harry Potter and the Goblet of Fire,tt0330373
Harry Potter and the Prisoner of Azkaban,tt0304141
Hawkeye,tt10160804
Hearts of Darkness: A Filmmaker's Apocalypse,
Hearts of Fire,tt0093163
Heat,tt0113277
Heathers,tt0097493
Heaven Can Wait,tt0077663
Heaven Can Wait (1978),
Heavenly Creatures,
Heaven's Gate,tt0080855
Heavy Traffic,
Hedwig and the Angry Inch,tt0248845
Hellbound: Hellraiser II,tt0095294
Hello Mary Lou: Prom Night II,tt0093176
Hellraiser,tt0093177
Hellraiser III: Hell on Earth,tt0104409
Hellraiser: Bloodline,tt0116514
Hellraiser: Deader,tt0337636
Hellraiser: Inferno,tt0229440
Hellraiser: Revelations,tt1716747
Help!,tt0059260
Henry V,tt0036910
Henry: Portrait of a Serial Killer,tt0099763
Hercules,tt1267297
Here,
Hereditary,tt7784604
Hero,
Hey Good Lookin',
Hidden Figures,tt4846340
High and Low,tt0057565
High Art,
High Flying Bird,tt8128188
High Life,tt4827558
High Noon,tt0044706
High School Musical,tt0475293
High Sierra,tt0033717
Highlander,tt0091203
His Girl Friday,tt0032599
History of the World: Part I,tt0082517
Hitch,tt0386588
Hitched for the Holidays,tt2256703
Hitman Hart: Wrestling with Shadows,
Hobo with a Shotgun,tt1640459
Holiday Affair,tt0041473
Holiday Heart,tt0250425
Holidays,
Hombre,
Home Alone,
Home for the Holidays,
Home from the Hill,
Homeward Bound: The Incredible Journey,tt0107131
"Honey, I Shrunk the Kids",tt0097523
Hook,tt0102057
Hoop Dreams,tt0110057
Hoosiers,
Host,
House,
House of Frankenstein,tt0036931
House of Wax,tt0397065
House on Haunted Hill (1959),
House on the Edge of the Park,tt0080503
How Stella Got Her Groove Back,tt0120703
How to Succeed in Business Without Really Trying,tt0061791
Howard the Duck,tt0091225
Howards End,tt0104454
Hubie Halloween,tt10682266
Hud,tt0057163
Hudson Hawk,tt0102070
Hugo,
Human Nature,
Humpday,tt1334537
Hundreds of Beavers,
Hustle,tt8009428
I Am a Fugitive from a Chain Gang,tt0023042
I Am Legend,tt0480249
I Declare War,tt2133239
I Know Who Killed Me,tt0897361
I Live in Fear (Record of a Living Being),
I Married a Strange Person!,tt0119346
I Married a Witch,tt0034881
I Saw the Devil,tt1588170
I Saw the TV Glow,
I Walked with a Zombie,tt0036027
Idiocracy,tt0387808
Idle Hands,tt0138510
If Beale Street Could Talk,tt7125860
Ikiru,tt0044741
I'm Not There,tt0368794
I'm Thinking of Ending Things,
Imagine,tt0172586
Imitation of Life,tt0052918
In a Lonely Place,tt0042593
In Bruges,tt0780536
In Fabric,tt7464188
In My Skin,tt8594528
In Paris,
In Search of the Castaways,tt0056095
In the Bedroom,tt0247425
In the Bleak Midwinter,
In the Cut,tt0199626
In the Loop,tt1226774
In the Mood for Love,tt0118694
In the Summers,
Inception,tt1375666
Incredibles 2,tt3606756
Indecent Proposal,tt0107211
Independence Day,tt0116629
Indiana Jones and the Kingdom of the Crystal Skull,tt0367882
Indiana Jones and the Last Crusade,tt0097576
Indiana Jones and the Temple of Doom,tt0087469
Inglourious Basterds,tt0361748
Ingrid Goes West,tt5962210
Inherent Vice,tt1791528
Innerspace,tt0093260
Insiang (Philippines),
Inside,tt14781036
Inside Llewyn Davis,tt2042568
Inside Man,tt10948716
Inside Out,tt2096673
Insidious,
Intermission,tt0332658
Interstellar,tt0816692
Interview with the Vampire,
Intolerable Cruelty,tt0138524
Invasion of the Body Snatchers,tt0077745
Invasion U.S.A.,tt0089348
Ip Man 4: The Finale,tt2076298
Irma Vep,tt13649314
Iron Man,tt0371746
Iron Man 2,tt1228705
Iron Man 3,tt1300854
Irréversible,tt0290673
Island of Death,tt0188527
It,
It Follows,tt3235888
It Happened One Night,tt0025316
It: Chapter One,
It's a Mad Mad Mad Mad World,tt0057193
It's a Wonderful Life,tt0038650
Jack,
Jack and Jill,tt0810913
Jackass Forever,tt11466222
Jackass Number Two,tt0493430
Jackass: The Movie,tt0322802
Jackie,
Jackie Brown,tt0119396
Jamaica Inn,
Jason and the Argonauts,tt0057197
Jason Goes to Hell: The Final Friday,tt0107254
Jason X,tt0211443
Jaws,tt0073195
Jennifer's Body,tt1131734
Jerry Maguire,
Jigoku,
Jigsaw,
Jinnah,tt0183306
Joe Dirt,tt0245686
Joe Versus the Volcano,tt0099892
John Wick,tt2911666
John Wick: Chapter 2,
Johnny Dangerously,
Johnny Guitar,tt0047136
Josie and the Pussycats,tt0236348
Journey to the Center of Time,tt0061850
Judge Dredd,tt0113492
Jules,
Jules and Jim,
Julius Caesar,tt0045943
Jumanji,tt0113497
Jumanji: Welcome to the Jungle,tt2283362
Jumpin' Jack Flash,tt0091306
Jumping the Broom,tt1640484
Junebug,tt0418773
Jungle Cruise,tt0870154
Junior Bonner,tt0068786
Juno,tt0467406
Jurassic Park,tt0107290
Jurassic Park III,tt0163025
Jurassic World: Fallen Kingdom,tt4881806
Kagemusha,
Kajillionaire,
Kenny & Company,tt0074739
Kickboxer,
Kidnapped,tt14137416
Kids in the Hall: Brain Candy,tt0116768
Kiki's Delivery Service,
Kill Bill: Vol. 1,tt0266697
Killer Crocodile,tt0143338
Killers of the Flower Moon,
Killing Them Softly,tt1764234
Kimi,tt14128670
King Kong,tt0024216
King Kong vs. Godzilla,tt0056142
King Lear,tt7473890
Kingdom of the Planet of the Apes,
Kinsey,
Kiss Kiss Bang Bang,tt0373469
Kiss Me Deadly,tt0048261
Kiss Me Kate,tt0045963
Kiss of Death,tt0039536
Knights of the Round Table,tt0045966
Knives Out,tt8946378
Knock Knock,
Knocked Up,tt0478311
Koyaanisqatsi,
Krampus,tt3850590
Kraven the Hunter,
Kubo and the Two Strings,tt4302938
Kumiko The Treasure Hunter,
Kundun,
Kung Fu Master!,
L.A. Confidential,tt0119488
La Bûche,
Labyrinth,tt0091369
"Ladies and Gentlemen, the Fabulous Stains",tt0082639
Lady Bird,
Lady in the Water,tt0452637
Lady in White,tt0095484
Lady Snowblood,tt0158714
Laggies,
Lake Placid,tt0139414
Lamb,
Lancelot du Lac,
Lara Croft: Tomb Raider,tt0146316
Lars and the Real Girl,tt0805564
Last Action Hero,tt0107362
Last Night,
Last Night in Soho,tt9639470
"Late August, Early September",tt0167925
Law of Desire,tt0093412
Lawrence of Arabia,tt0056172
Le Bonheur,tt0058985
Leaving Las Vegas,tt0113627
Legend,tt3569230
Legend of the Red Dragon,
Léon: The Professional,
Les Amants du Pont-Neuf,
Les Misérables,tt1707386
Let Him Go,
Let the Sunshine In,
Let Them All Talk,tt10808832
Lethal Weapon 2,
Letters from Iwo Jima,tt0498380
Leviathan,tt0097737
Licence to Kill,tt0097742
Licorice Pizza,tt11271038
Life is Sweet,tt0100024
Life of Brian,tt0079470
Life of Crime,
Lifeboat,
Lifeforce,tt0089489
Lilo & Stitch,
Limbo,tt21833834
Limite (Brazil),
Lincoln,tt0443272
Lionheart,
Lisa,tt0100031
Little Shop of Horrors,tt0091419
Little Women,tt0110367
Live and Let Die,tt0070328
